iter	Passed	Remaining
698	18569	34561
699	18619	34579
700	18653	34565
701	18680	34540
702	18714	34526
703	18742	34502
704	18763	34466
705	18791	34443
706	18817	34413
707	18840	34381
708	18861	34343
709	18895	34331
710	18908	34280
711	18921	34229
712	18950	34205
713	18976	34179
714	19005	34155
715	19018	34106
716	19040	34070
717	19080	34068
718	19106	34041
719	19131	34012
720	19164	33995
721	19198	33982
722	19245	33991
723	19296	34008
724	19337	34007
725	19379	34007
726	19415	33996
727	19439	33965
728	19475	33955
729	19500	33925
730	19531	33905
731	19554	33873
732	19574	33835
733	19587	33784
734	19616	33761
735	19643	33735
736	19661	33693
737	19691	33673
738	19716	33643
739	19753	33635
740	19770	33591
741	19797	33565
742	19815	33523
743	19837	33489
744	19864	33462
745	19888	33431
746	19914	33404
747	19935	33367
748	19961	33340
749	19980	33300
750	20005	33272
751	20028	33239
752	20063	33225
753	20097	33211
754	20122	33182
755	20147	33152
756	20184	33143
757	20220	33132
758	20260	33126
759	20301	33123
760	20333	33104
761	20357	33075
762	20378	33038
763	20399	33001
764	20425	32974
765	20440	32929
766	20466	32900
767	20496	32879
768	20508	32830
769	20530	32795
770	20542	32745
771	20578	32733
772	20594	32689
773	20619	32661
774	20650	32640
775	20676	32613
776	20692	32570
777	20724	32551
778	20771	32556
779	20822	32568
780	20876	32584
781	20914	32574
782	20940	32547
783	20966	32518
784	20986	32483
785	21010	32450
786	21025	32406
787	21042	32364
788	21058	32322
789	21085	32295
790	21111	32267
791	21127	32224
792	21153	32197
793	21174	32162
794	21197	32129
795	21223	32101
796	21242	32063
797	21264	32029
798	21290	32002
799	21309	31964
800	21350	31959
801	21378	31934
802	21399	31899
803	21429	31877
804	21450	31842
805	21472	31809
806	21502	31787
807	21536	31771
808	21572	31758
809	21603	31737
810	21623	31701
811	21654	31681
812	21674	31644
813	21703	31622
814	21737	31605
815	21765	31581
816	21806	31575
817	21829	31544
818	21862	31525
819	21883	31490
820	21908	31462
821	21938	31439
822	21975	31428
823	21996	31393
824	22022	31364
825	22045	31332
826	22065	31296
827	22090	31268
828	22111	31234
829	22146	31218
830	22172	31191
831	22195	31159
832	22229	31142
833	22247	31104
834	22271	31073
835	22294	31041
836	22327	31024
837	22348	30988
838	22374	30961
839	22406	30941
840	22442	30928
841	22479	30916
842	22500	30881
843	22515	30839
844	22542	30812
845	22559	30772
846	22588	30749
847	22611	30718
848	22646	30701
849	22676	30679
850	22707	30658
851	22737	30636
852	22758	30602
853	22784	30575
854	22808	30544
855	22842	30527
856	22866	30497
857	22893	30471
858	22919	30443
859	22940	30409
860	22981	30402
861	23024	30397
862	23053	30373
863	23085	30352
864	23122	30339
865	23151	30316
866	23174	30284
867	23206	30264
868	23227	30230
869	23257	30208
870	23281	30178
871	23304	30146
872	23327	30115
873	23354	30088
874	23392	30076
875	23407	30034
876	23439	30014
877	23465	29986
878	23503	29973
879	23523	29938
880	23555	29919
881	23585	29896
882	23614	29872
883	23648	29854
884	23670	29821
885	23684	29779
886	23705	29744
887	23727	29713
888	23775	29713
889	23813	29700
890	23842	29676
891	23858	29635
892	23882	29605
893	23896	29563
894	23922	29535
895	23954	29514
896	23970	29475
897	23994	29445
898	24012	29408
899	24037	29379
900	24069	29358
901	24085	29319
902	24111	29291
903	24137	29264
904	24165	29238
905	24189	29208
906	24215	29181
907	24240	29152
908	24268	29127
909	24297	29104
910	24337	29092
911	24372	29075
912	24402	29052
913	24438	29037
914	24456	28999
915	24482	28972
916	24503	28938
917	24544	28929
918	24583	28916
919	24616	28897
920	24645	28873
921	24674	28849
922	24702	28824
923	24740	28810
924	24754	28769
925	24775	28734
926	24799	28705
927	24824	28676
928	24852	28651
929	24872	28616
930	24896	28587
931	24925	28562
932	24951	28535
933	24976	28506
934	25005	28482
935	25060	28487
936	25104	28480
937	25140	28464
938	25171	28441
939	25185	28400
940	25215	28377
941	25251	28360
942	25284	28341
943	25307	28309
944	25330	28279
945	25348	28242
946	25380	28221
947	25400	28187
948	25443	28178
949	25469	28150
950	25500	28128
951	25523	28097
952	25555	28075
953	25575	28041
954	25595	28007
955	25627	27986
956	25651	27956
957	25668	27919
958	25695	27893
959	25731	27876
960	25773	27865
961	25809	27848
962	25832	27817
963	25872	27805
